Kabul	34.53	69.17	  4 436
Tiran‰ (Tirana)	41.33	19.82	   445
El Djaza‹r  (Algiers)	36.75	3.04	  2 559
Pago Pago	-14.28	-170.70	   48
Andorra la Vella	42.51	1.52	   23
Luanda	-8.84	13.23	  5 288
The Valley	18.22	-63.06	   1
St. John's	17.12	-61.85	   22
Buenos Aires	-34.61	-58.40	  15 024
Yerevan	40.18	44.51	  1 049
Oranjestad	12.52	-70.03	   29
Canberra	-35.28	149.13	   415
Wien (Vienna)	48.21	16.37	  1 743
Baku	40.38	49.89	  2 317
Nassau	25.06	-77.34	   267
Al-Manamah (Manama)	26.22	50.58	   398
Dhaka	23.71	90.41	  16 982
Bridgetown	13.10	-59.62	   90
Minsk	53.90	27.57	  1 905
Bruxelles-Brussel	50.85	4.35	  2 029
Belmopan	17.25	-88.77	   17
Cotonou	6.37	2.42	   680
Porto-Novo	6.50	2.60	   268
Hamilton	32.29	-64.78	   10
Thimphu	27.47	89.64	   152
La Paz	-16.50	-68.15	  1 800
Sucre	-19.03	-65.26	   358
Sarajevo	43.85	18.36	   322
Gaborone	-24.65	25.91	   247
Bras¡lia	-15.78	-47.93	  4 074
Road Town	18.42	-64.62	   13
Bandar Seri Begawan	4.94	114.95	   14
Sofia	42.70	23.32	  1 222
Ouagadougou	12.36	-1.54	  2 565
Bujumbura	-3.38	29.36	   707
Praia	14.92	-23.51	   145
Phnum P‚nh (Phnom Penh)	11.56	104.92	  1 684
Yaound‚	3.87	11.52	  2 930
Ottawa-Gatineau	45.42	-75.70	  1 306
Kralendijk	12.15	-68.27	   15
George Town	19.29	-81.37	   31
Bangui	4.36	18.55	   781
N'Djam‚na	12.11	15.04	  1 212
St. Helier	49.19	-2.10	   35
St. Peter Port	49.46	-2.54	   16
Santiago	-33.46	-70.65	  6 472
Beijing	39.91	116.40	  19 520
Hong Kong	22.28	114.19	  7 260
Macao	22.20	113.55	   575
Bogot 	4.61	-74.08	  9 558
Moroni	-11.70	43.26	   56
Brazzaville	-4.27	15.28	  1 827
Rarotonga	-21.23	-159.76	   15
San Jos‚	9.93	-84.08	  1 160
Abidjan	5.35	-4.03	  4 708
Yamoussoukro	6.82	-5.28	   259
Zagreb	45.81	15.98	   687
La Habana (Havana)	23.12	-82.38	  2 146
Willemstad	12.11	-68.93	   145
Lefkosia (Nicosia)	35.16	33.37	   251
Praha (Prague)	50.09	14.42	  1 303
P'yongyang	39.03	125.75	  2 856
Kinshasa	-4.33	15.31	  11 116
K?benhavn (Copenhagen)	55.68	12.57	  1 255
Djibouti	11.59	43.14	   522
Roseau	15.30	-61.39	   15
Santo Domingo	18.49	-69.90	  2 873
Quito	-0.23	-78.52	  1 699
Al-Qahirah (Cairo)	30.04	31.24	  18 419
San Salvador	13.69	-89.19	  1 097
Malabo	3.75	8.78	   145
Asmara	15.33	38.93	   775
Tallinn	59.44	24.75	   392
Addis Ababa	9.02	38.75	  3 168
Stanley	-51.70	-57.85	   2
T¢rshavn	62.01	-6.77	   21
Suva	-18.14	178.44	   176
Helsinki	60.17	24.94	  1 170
Paris	48.85	2.35	  10 764
Cayenne	4.93	-52.33	   58
Papeete	-17.53	-149.57	   133
Libreville	0.39	9.45	   695
Banjul	13.45	-16.68	   489
Tbilisi	41.69	44.83	  1 150
Berlin	52.52	13.41	  3 547
Accra	5.56	-0.20	  2 242
Gibraltar	36.14	-5.35	   29
Ath¡nai (Athens)	37.95	23.75	  3 060
Nuuk (Godth†b)	64.18	-51.72	   17
St.George's	12.06	-61.75	   38
Basse-Terre	16.00	-61.73	   55
Hag†t¤a	13.48	144.75	   143
Ciudad de Guatemala (Guatemala City)	14.61	-90.53	  2 847
Conakry	9.57	-13.65	  1 886
Bissau	11.86	-15.60	   473
Georgetown	6.80	-58.16	   124
Port-au-Prince	18.54	-72.34	  2 376
Vatican City	41.90	12.45	   1
Tegucigalpa	14.08	-87.21	  1 101
Budapest	47.50	19.04	  1 717
Reykjav¡k	64.14	-21.90	   184
Delhi	28.67	77.22	  24 953
Jakarta	-6.21	106.84	  10 176
Tehran	35.69	51.42	  8 353
Baghdad	33.34	44.40	  6 483
Dublin	53.33	-6.25	  1 155
Douglas	54.15	-4.48	   29
Jerusalem	31.77	35.22	   829
Roma (Rome)	41.89	12.48	  3 697
Kingston	18.00	-76.79	   587
Tokyo	35.69	139.69	  37 833
Amman	31.96	35.95	  1 148
Astana	51.18	71.45	   741
Nairobi	-1.28	36.82	  3 768
Tarawa	1.33	172.98	   46
Al Kuwayt (Kuwait City)	29.35	47.98	  2 680
Bishkek	42.87	74.59	   858
Vientiane	17.97	102.60	   946
Riga	56.95	24.11	   629
Bayrut (Beirut)	33.90	35.48	  2 179
Maseru	-29.32	27.48	   267
Monrovia	6.30	-10.80	  1 224
Tarabulus (Tripoli)	32.88	13.19	  1 126
Vaduz	47.14	9.52	   5
Vilnius	54.69	25.28	   519
Luxembourg	49.61	6.13	   107
Antananarivo	-18.91	47.54	  2 487
Lilongwe	-13.97	33.79	   867
Kuala Lumpur	3.14	101.69	  6 629
Male	4.17	73.51	   156
Bamako	12.65	-8.00	  2 386
Valletta	35.90	14.51	   197
Majuro	7.09	171.38	   31
Fort-de-France	14.61	-61.07	   86
Nouakchott	18.09	-15.98	   945
Port Louis	-20.16	57.50	   135
Mamoudzou	-12.78	45.23	   6
Ciudad de M‚xico (Mexico City)	19.43	-99.14	  20 843
Palikir	6.92	158.16	   7
Monaco	43.73	7.42	   38
Ulaanbaatar	47.91	106.88	  1 334
Podgorica	42.44	19.26	   165
Brades Estate	16.79	-62.21	   0
Rabat	34.01	-6.83	  1 932
Maputo	-25.97	32.59	  1 174
Nay Pyi Taw	19.75	96.13	  1 016
Windhoek	-22.56	17.08	   356
Nauru	-0.53	166.91	   10
Kathmandu	27.70	85.32	  1 142
Amsterdam	52.37	4.89	  1 084
s-Gravenhage (The Hague)	52.08	4.30	   646
Noum‚a	-22.28	166.46	   181
Wellington	-41.29	174.78	   380
Managua	12.13	-86.25	   951
Niamey	13.51	2.11	  1 058
Abuja	9.06	7.49	  2 301
Alofi	-19.06	-169.92	   1
Saipan	15.21	145.75	   49
Oslo	59.91	10.75	   970
Masqat (Muscat)	23.61	58.59	   812
Islamabad	33.70	73.06	  1 297
Koror	7.34	134.48	   12
Ciudad de Panam  (Panama City)	9.00	-79.52	  1 638
Port Moresby	-9.44	147.18	   338
Asunci¢n	-25.30	-57.64	  2 307
Lima	-12.04	-77.03	  9 722
Manila	14.60	120.98	  12 764
Warszawa (Warsaw)	52.23	21.01	  1 718
Lisboa (Lisbon)	38.72	-9.14	  2 869
San Juan	18.47	-66.11	  2 466
Ad-Dawhah (Doha)	25.27	51.52	   699
Seoul	37.57	126.98	  9 775
Chi?in?u	47.01	28.86	   721
Saint-Denis	-20.88	55.45	   144
Bucuresti (Bucharest)	44.43	26.10	  1 872
Moskva (Moscow)	55.75	37.62	  12 063
Kigali	-1.95	30.06	  1 223
Jamestown	-15.94	-5.72	   1
Basseterre	17.29	-62.73	   14
Castries	14.01	-60.99	   22
Saint-Pierre	46.77	-56.18	   5
Kingstown	13.16	-61.22	   27
Apia	-13.83	-171.77	   37
San Marino	43.93	12.45	   4
S?o Tom‚	0.34	6.73	   71
Ar-Riyadh (Riyadh)	24.69	46.71	  6 195
Dakar	14.69	-17.44	  3 393
Beograd (Belgrade)	44.82	20.46	  1 181
Victoria	-4.62	55.45	   26
Freetown	8.48	-13.23	   986
Singapore	1.29	103.85	  5 517
Philipsburg	18.03	-63.05	   46
Bratislava	48.15	17.11	   403
Ljubljana	46.05	14.51	   279
Honiara	-9.43	159.95	   73
Muqdisho (Mogadishu)	2.04	45.34	  2 014
Bloemfontein	-29.12	26.21	   496
Cape Town	-33.93	18.42	  3 624
Pretoria	-25.74	28.19	  1 991
Juba	4.85	31.58	   307
Madrid	40.42	-3.70	  6 133
Colombo	6.93	79.85	   704
Sri Jayewardenepura Kotte	6.90	79.91	   128
Ramallah	31.90	35.20	   83
Al-Khartum (Khartoum)	15.55	32.53	  5 000
Paramaribo	5.87	-55.17	   234
Mbabane	-26.32	31.13	   66
Stockholm	59.33	18.06	  1 464
Bern	46.95	7.45	   358
Dimashq (Damascus)	33.51	36.31	  2 574
Dushanbe	38.54	68.78	   801
Skopje	42.00	21.43	   501
Krung Thep (Bangkok)	13.72	100.53	  9 098
Dili	-8.56	125.57	   228
Lom‚	6.14	1.21	   930
Tokelau	-9.38	-171.25	?
Nuku'alofa	-21.14	-175.20	   25
Port of Spain	10.67	-61.52	   34
Tunis	36.82	10.17	  1 978
Ankara	39.92	32.85	  4 644
Ashgabat	37.95	58.38	   735
Cockburn Town	21.46	-71.14	   5
Funafuti	-8.52	179.20	   6
Kampala	0.32	32.58	  1 863
Kyiv (Kiev)	50.45	30.52	  2 917
Abu Zaby (Abu Dhabi)	24.46	54.36	  1 114
London	51.51	-0.13	  10 189
Dodoma	-6.17	35.74	   228
"Washington, D.C."	38.90	-77.04	  4 896
Charlotte Amalie	18.34	-64.93	   52
Montevideo	-34.83	-56.17	  1 698
Tashkent	41.26	69.22	  2 241
Port Vila	-17.73	168.32	   53
Caracas	10.49	-66.88	  2 912
H… Noi	21.02	105.84	  3 470
Matu-Utu	-13.28	-176.17	   1
El Aai£n	27.15	-13.20	   262
Sana'a'	15.35	44.21	  2 833
Lusaka	-15.41	28.28	  2 078
Harare	-17.83	31.05	  1 495
