Kabul,34.53,69.17,"4,436.255"
Tiranë (Tirana),41.33,19.82,444.580
El Djazaïr  (Algiers),36.75,3.04,"2,559.445"
Pago Pago,-14.28,-170.70,48.274
Andorra la Vella,42.51,1.52,23.449
Luanda,-8.84,13.23,"5,288.267"
The Valley,18.22,-63.06,1.039
St. John's,17.12,-61.85,21.989
Buenos Aires,-34.61,-58.40,"15,023.811"
Yerevan,40.18,44.51,"1,048.641"
Oranjestad,12.52,-70.03,29.041
Canberra,-35.28,149.13,414.684
Wien (Vienna),48.21,16.37,"1,743.284"
Baku,40.38,49.89,"2,317.140"
Nassau,25.06,-77.34,266.765
Al-Manamah (Manama),26.22,50.58,397.623
Dhaka,23.71,90.41,"16,982.363"
Bridgetown,13.10,-59.62,90.265
Minsk,53.90,27.57,"1,905.252"
Bruxelles-Brussel,50.85,4.35,"2,028.657"
Belmopan,17.25,-88.77,16.921
Cotonou,6.37,2.42,680.285
Porto-Novo,6.50,2.60,268.057
Hamilton,32.29,-64.78,10.334
Thimphu,27.47,89.64,152.398
La Paz,-16.50,-68.15,"1,800.308"
Sucre,-19.03,-65.26,358.337
Sarajevo,43.85,18.36,321.714
Gaborone,-24.65,25.91,246.562
Brasília,-15.78,-47.93,"4,073.717"
Road Town,18.42,-64.62,13.102
Bandar Seri Begawan,4.94,114.95,14.025
Sofia,42.70,23.32,"1,221.933"
Ouagadougou,12.36,-1.54,"2,565.194"
Bujumbura,-3.38,29.36,707.191
Praia,14.92,-23.51,144.648
Phnum Pénh (Phnom Penh),11.56,104.92,"1,684.308"
Yaoundé,3.87,11.52,"2,930.167"
Ottawa-Gatineau,45.42,-75.70,"1,305.811"
Kralendijk,12.15,-68.27,14.592
George Town,19.29,-81.37,30.603
Bangui,4.36,18.55,780.825
N'Djaména,12.11,15.04,"1,212.075"
St. Helier,49.19,-2.10,35.102
St. Peter Port,49.46,-2.54,16.132
Santiago,-33.46,-70.65,"6,471.801"
Beijing,39.91,116.40,"19,520.330"
Hong Kong,22.28,114.19,"7,259.569"
Macao,22.20,113.55,575.481
Bogotá,4.61,-74.08,"9,557.599"
Moroni,-11.70,43.26,55.872
Brazzaville,-4.27,15.28,"1,826.886"
Rarotonga,-21.23,-159.76,15.398
San José,9.93,-84.08,"1,159.505"
Abidjan,5.35,-4.03,"4,707.564"
Yamoussoukro,6.82,-5.28,258.962
Zagreb,45.81,15.98,687.007
La Habana (Havana),23.12,-82.38,"2,146.128"
Willemstad,12.11,-68.93,144.730
Lefkosia (Nicosia),35.16,33.37,251.142
Praha (Prague),50.09,14.42,"1,302.883"
P'yongyang,39.03,125.75,"2,856.046"
Kinshasa,-4.33,15.31,"11,116.133"
København (Copenhagen),55.68,12.57,"1,254.808"
Djibouti,11.59,43.14,521.840
Roseau,15.30,-61.39,14.994
Santo Domingo,18.49,-69.90,"2,872.818"
Quito,-0.23,-78.52,"1,699.145"
Al-Qahirah (Cairo),30.04,31.24,"18,419.138"
